1,10,2
1,11,5
1,12,5
1,13,2
1,14,4
1,15,2
1,16,1
1,17,4
1,18,3
1,19,1
2,11,4
2,12,3
2,13,1
2,14,1
2,15,5
2,16,2
2,17,4
2,18,3
2,19,2
2,20,4
3,12,5
3,13,2
3,14,1
3,15,2
3,16,5
3,17,4
3,18,1
3,19,4
3,20,4
3,21,5
4,13,5
4,14,1
4,15,4
4,16,4
4,17,2
4,18,1
4,19,5
4,20,4
4,21,2
4,22,5
5,14,4
5,15,4
5,16,5
5,17,4
5,18,1
5,19,3
5,20,5
5,21,4
5,22,4
5,23,5
6,15,4
6,16,5
6,17,2
6,18,5
6,19,4
6,20,4
6,21,1
6,22,1
6,23,5
6,24,2
7,16,5
7,17,4
7,18,4
7,19,3
7,20,3
7,21,4
7,22,3
7,23,5
7,24,5
7,25,4
8,17,4
8,18,3
8,19,5
8,20,5
8,21,4
8,22,4
8,23,2
8,24,5
8,25,4
8,26,4
9,18,1
9,19,3
9,20,5
9,21,3
9,22,2
9,23,5
9,24,4
9,25,1
9,26,4
9,27,1
10,19,1
10,20,1
10,21,5
10,22,4
10,23,5
10,24,3
10,25,5
10,26,1
10,27,3
10,28,4
11,20,3
11,21,4
11,22,1
11,23,2
11,24,1
11,25,2
11,26,1
11,27,1
11,28,2
11,29,5
12,21,5
12,22,2
12,23,2
12,24,5
12,25,4
12,26,5
12,27,1
12,28,1
12,29,2
12,30,3
13,22,3
13,23,5
13,24,5
13,25,5
13,26,2
13,27,4
13,28,5
13,29,4
13,30,5
13,31,1
14,23,1
14,24,2
14,25,2
14,26,1
14,27,5
14,28,2
14,29,2
14,30,4
14,31,1
14,32,5
15,24,4
15,25,1
15,26,2
15,27,1
15,28,2
15,29,1
15,30,1
15,31,3
15,32,5
15,33,4
16,25,3
16,26,1
16,27,2
16,28,2
16,29,5
16,30,4
16,31,3
16,32,5
16,33,2
16,34,5
17,26,5
17,27,3
17,28,4
17,29,2
17,30,2
17,31,3
17,32,3
17,33,4
17,34,3
17,35,3
18,27,1
18,28,4
18,29,4
18,30,4
18,31,4
18,32,1
18,33,1
18,34,5
18,35,5
18,36,3
19,28,2
19,29,4
19,30,2
19,31,4
19,32,2
19,33,5
19,34,3
19,35,3
19,36,3
19,37,5
20,29,1
20,30,2
20,31,5
20,32,2
20,33,5
20,34,5
20,35,5
20,36,4
20,37,2
20,38,5
21,30,1
21,31,1
21,32,1
21,33,4
21,34,4
21,35,2
21,36,5
21,37,2
21,38,2
21,39,1
22,31,5
22,32,2
22,33,1
22,34,4
22,35,4
22,36,2
22,37,2
22,38,4
22,39,5
22,40,1
23,32,5
23,33,4
23,34,2
23,35,2
23,36,5
23,37,2
23,38,2
23,39,4
23,40,3
23,41,2
24,33,4
24,34,5
24,35,3
24,36,5
24,37,5
24,38,5
24,39,5
24,40,5
24,41,4
24,42,2
25,34,2
25,35,4
25,36,2
25,37,5
25,38,5
25,39,5
25,40,3
25,41,1
25,42,5
25,43,4
26,35,4
26,36,5
26,37,4
26,38,2
26,39,4
26,40,1
26,41,4
26,42,3
26,43,3
26,44,4
27,36,3
27,37,1
27,38,5
27,39,5
27,40,3
27,41,4
27,42,2
27,43,4
27,44,2
27,45,2
28,37,5
28,38,2
28,39,5
28,40,1
28,41,5
28,42,4
28,43,1
28,44,4
28,45,5
28,46,4
29,38,2
29,39,4
29,40,4
29,41,1
29,42,5
29,43,5
29,44,2
29,45,5
29,46,3
29,47,4
30,39,1
30,40,3
30,41,1
30,42,4
30,43,5
30,44,2
30,45,3
30,46,1
30,47,3
30,48,4
1,95,4
1,176,5
31,3,5
1,4,5
1,3,3
